"Product Name","SKU","Description","Specifications","Unit Price (USD)","Image URL(s)"
"18"" Stainless Steel 0.6mm Stiff Blade Offset Taping Knife","5-390","0.6mm Stiff Offset Knife","0.6mm STIFF BLADE |  With a 3.5” deep blade, this STIFF version is ideal for applying/smoothing joint compound on walls and ceilings, as well as for filling joints and outside corner beads. | HIGH PERFORMANCE | Offset handle enables you to lay the blades flatter against the wall for smoother, tighter finishes while avoiding hand contact with the fresh compound. | ADD A HANDLE | Removable hammer end enables this blade to be mounted to a LEVEL5 skimming blade pole, or any painter’s pole. | MATERIAL REMOVAL | Sturdy, square-edge blade also works great for scraping applications, such as removing popcorn ceilings. | GET THE PERFECT ANGLE | The pole adapter (included) allows for adjustment to any blade angle for maximum comfort. | LEVEL5 Offset Finishing Knives come with the company's Lifetime Guarantee against defects in materials and workmanship","$32.79","https://drywalltoolbox.com/brands/Level5/5-390.webp"
"10"" Stainless Steel Joint Knife w/ Soft Grip Handle","5-146","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$15.59","https://drywalltoolbox.com/brands/Level5/5-146.webp"
"150 Grit 9"" Radial Sander Disc - 10 Pack","5-347","Drywall Sanding Discs","UNIFORM FINISHING | Designed to provide a consistent, swirl-free sanding finish day in, day out. 120 & 150 grit sandpaper is best suited for an intermediate sanding between finishing coats. | SECURE ATTACHMENT | These sanding pads utilize the hook & loop system for an easy, robust attachment to the LEVEL5 radial sanding head (SKU# 5-342) or any other compatible sanding head. | PREMIUM MATERIALS | Built from premium abrasives & heavy duty paper to reduce tearing. | MANY GRITS | Available in 80, 120, 150, 180, 200, & 220 grit, there is a sanding disc to suit any finishing need. | PROFESSIONAL GRADE | LEVEL5 Radial Sanding discs have been designed using nearly 20 years of finisher feedback.","$15.59","https://drywalltoolbox.com/brands/Level5/5-347.webp"
"8"" Stainless Steel 0.5mm Flex Blade Offset Taping Knife","5-381","0.5mm Flex Offset Knife","0.5mm FLEX BLADE | With a 4"" deep blade, this FLEX version is ideal for finishing coats and offers perfect flex for maximum feel and control. | HIGH PERFORMANCE | Handle offset from the blade edge enables you to lay the blade flatter against the wall for a smoother, tighter finish. Produce a top notch finish easier and more efficiently, while simultaneously reducing wrist and hand fatigue | ADD A HANDLE | Ergonomic handle design that enables you to mount the knife to a standard painter's pole or a LEVEL5 extendable skimming blade handle (using the included adapter with 180+ degrees of angle adjustment for perfect comfort). | FLEXIBLE DESIGN | Threaded, removable die-cast zinc hammer end can be used to reset drywall screws. Also protects from mud accumulation inside handle when angle adapter is not used. | LIFETIME GUARANTEE | LEVEL5 Offset Finishing Knives come with the company's legendary Lifetime Guarantee against defects in materials and workmanship.","$24.39","https://drywalltoolbox.com/brands/Level5/5-381.webp"
"12"" Blue Steel Taping Knife w/ Soft Grip Handle","5-127","Taping Knife","PLEASE NOTE: This professional finish tool features a blue steel blade. It requires proper care and storage or it will corrode/rust (see care instructions in description below). | FULL SOFT-GRIP HANDLE | Lightweight, comfortable and ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site.","$14.79","https://drywalltoolbox.com/brands/Level5/5-127.webp"
"10"" Stainless Steel 0.5mm Flex Blade Offset Taping Knife","5-383","0.5mm Flex Offset Knife","0.5mm FLEX BLADE | With a 4"" deep blade, this FLEX version is ideal for finishing coats and offers perfect flex for maximum feel and control. | HIGH PERFORMANCE | Handle offset from the blade edge enables you to lay the blade flatter against the wall for a smoother, tighter finish. Produce a top notch finish easier and more efficiently, while simultaneously reducing wrist and hand fatigue | ADD A HANDLE | Ergonomic handle design that enables you to mount the knife to a standard painter's pole or a LEVEL5 extendable skimming blade handle (using the included adapter with 180+ degrees of angle adjustment for perfect comfort). | FLEXIBLE DESIGN | Threaded, removable die-cast zinc hammer end can be used to reset drywall screws. Also protects from mud accumulation inside handle when angle adapter is not used. | LIFETIME GUARANTEE | LEVEL5 Offset Finishing Knives come with the company's legendary Lifetime Guarantee against defects in materials and workmanship.","$25.99","https://drywalltoolbox.com/brands/Level5/5-383.webp"
"4"" Trim Puller w/Soft Grip Handle","5-203","Trim Puller","PROTECTS TRIM & DRYWALL | The LEVEL5 Trim Puller features a split blade design that lets you combine prying & hammering into one step! Precision-pointed ends make quick work of scoring caulk before prying. | IMPACT READY | The handle features a glass-reinforced polypropylene core and metal hammer end for shock resistance and outstanding durability. | PROTECTS YOUR KNUCKLES | This handle angles away from the blade to keep your knuckles away from the wall while prying. | SOFT GRIP HANDLE | Lightweight, comfortable, and ergonomically designed for all-day use with minimal fatigue. | ULTRA VERSATILE | The thick, rigid steel blade is also perfect for most types of scraping applications. Remove paint, lacquer, popcorn ceilings, and other finishes with ease. | PROFESSIONAL GRADE | LEVEL5 tools are used by professional finishers worldwide. All designs have been continuously refined using more than 20 years of input from our users. These tools are comfortable to use, built to perform and built to last.","$17.77","https://drywalltoolbox.com/brands/Level5/5-203.webp"
"80 Grit 9"" Radial Sander Disc - 10 Pack","5-345","Drywall Sanding Discs","UNIFORM FINISHING | Designed to provide a consistent, swirl-free sanding finish day in, day out. 80 grit sandpaper is best suited for finishing rough patches of plaster & joint compound. | SECURE ATTACHMENT | These sanding pads utilize the hook & loop system for an easy, robust attachment to the LEVEL5 radial sanding head (SKU# 5-342) or any other compatible sanding head. | PREMIUM MATERIALS | Built from premium abrasives & heavy duty paper to reduce tearing. | MANY GRITS | Available in 80, 120, 150, 180, 200, & 220 grit, there is a sanding disc to suit any finishing need. | PROFESSIONAL GRADE | LEVEL5 Radial Sanding discs have been designed using nearly 20 years of finisher feedback.","$15.59","https://drywalltoolbox.com/brands/Level5/5-345.webp"
"14"" Stainless Steel 0.5mm Flex Blade Offset Taping Knife","5-387","0.5mm Flex Offset Knife","0.5mm FLEX BLADE | With a 4"" deep blade, this FLEX version is ideal for finishing coats and offers perfect flex for maximum feel and control. | HIGH PERFORMANCE | Handle offset from the blade edge enables you to lay the blade flatter against the wall for a smoother, tighter finish. Produce a top notch finish easier and more efficiently, while simultaneously reducing wrist and hand fatigue | ADD A HANDLE | Ergonomic handle design that enables you to mount the knife to a standard painter's pole or a LEVEL5 extendable skimming blade handle (using the included adapter with 180+ degrees of angle adjustment for perfect comfort). | FLEXIBLE DESIGN | Threaded, removable die-cast zinc hammer end can be used to reset drywall screws. Also protects from mud accumulation inside handle when angle adapter is not used. | LIFETIME GUARANTEE | LEVEL5 Offset Finishing Knives come with the company's legendary Lifetime Guarantee against defects in materials and workmanship.","$29.59","https://drywalltoolbox.com/brands/Level5/5-387.webp"
"4"" Welded Stainless Steel Joint Knife","5-404","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$15.59","https://drywalltoolbox.com/brands/Level5/5-404.webp"
"18"" Stainless Steel 0.5mm Flex Blade Offset Taping Knife","5-391","0.5mm Flex Offset Knife","0.5mm FLEX BLADE | With a 4"" deep blade, this FLEX version is ideal for finishing coats and offers perfect flex for maximum feel and control. | HIGH PERFORMANCE | Handle offset from the blade edge enables you to lay the blade flatter against the wall for a smoother, tighter finish. Produce a top notch finish easier and more efficiently, while simultaneously reducing wrist and hand fatigue | ADD A HANDLE | Ergonomic handle design that enables you to mount the knife to a standard painter's pole or a LEVEL5 extendable skimming blade handle (using the included adapter with 180+ degrees of angle adjustment for perfect comfort). | FLEXIBLE DESIGN | Threaded, removable die-cast zinc hammer end can be used to reset drywall screws. Also protects from mud accumulation inside handle when angle adapter is not used. | LIFETIME GUARANTEE | LEVEL5 Offset Finishing Knives come with the company's legendary Lifetime Guarantee against defects in materials and workmanship.","$32.79","https://drywalltoolbox.com/brands/Level5/5-391.webp"
"Carbon Steel Joint Knife Set","5-603","Joint Knife Set","","$61.84","https://drywalltoolbox.com/brands/Level5/5-603.webp"
"10"" Welded Stainless Steel Joint Knife","5-410","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$19.19","https://drywalltoolbox.com/brands/Level5/5-410.webp"
"12"" Stainless Steel 0.6mm Stiff Blade Offset Taping Knife","5-384","0.6mm Stiff Offset Knife","0.6mm STIFF BLADE |  With a 3.5” deep blade, this STIFF version is ideal for applying/smoothing joint compound on walls and ceilings, as well as for filling joints and outside corner beads. | HIGH PERFORMANCE | Offset handle enables you to lay the blades flatter against the wall for smoother, tighter finishes while avoiding hand contact with the fresh compound. | ADD A HANDLE | Removable hammer end enables this blade to be mounted to a LEVEL5 skimming blade pole, or any painter’s pole. | MATERIAL REMOVAL | Sturdy, square-edge blade also works great for scraping applications, such as removing popcorn ceilings. | GET THE PERFECT ANGLE | The pole adapter (included) allows for adjustment to any blade angle for maximum comfort. | LEVEL5 Offset Finishing Knives come with the company's Lifetime Guarantee against defects in materials and workmanship","$27.99","https://drywalltoolbox.com/brands/Level5/5-384.webp"
"14"" Drywall Finishing Trowel with 0.7mm Curved Blade","4-972","Finishing Trowel","CURVED BLADE DESIGN | Designed to provide expert coverage on drywall seams, these trowels have a concave curved blade (approx. ⅛-inch curve) and are designed for intermediate coats, where butt joints and seams require additional coverage and leveling | PROFESSIONAL FINISHING | LEVEL5 curved trowels can be used in conjunction with flat trowels. They provide specific coverage where seams are slightly uneven, and when mud has to be distributed with less horizontal pressure. | PREMIUM BLADE | Triple-hardened 0.7mm European stainless steel. Precision-ground edges and corners ensure these trowels feel ""broken in"" right out of the box. | PROPRIETARY ERGONOMIC GRIP | Patented leather composite handle grips mold to fit your hand, providing all day comfort with less hand/wrist strain. | BUILT TO LAST | Precision powder-coated aluminum handle mount that is rigid yet lightweight and durable, and robotically welded super-strong surface-mounted rivets that last longer than typical ""through-rivet"" designs. | MULTIPLE LENGTHS AVAILABLE | LEVEL5 curved blade trowels are available in three lengths: 12”, 14” and 16” | GUARANTEED PERFORMANCE | If you're not satisfied with your purchase within the first 30 days, returns through LEVEL5 are simple.","$46.79","https://drywalltoolbox.com/brands/Level5/4-972.webp"
"Heat-Shrink Handle Grips (5-Pack)","5-411","Heat-Shrink Handle Grips","","$6.39","https://drywalltoolbox.com/brands/Level5/5-411.webp"
"Deluxe Blue/Carbon Steel Hand Tool Set","5-610","Hand Tool Set","","$193.02","https://drywalltoolbox.com/brands/Level5/5-610.webp"
"9"" Radial Pole Sanding Head","5-342","Drywall Sanding Head","UNIFORM FINISHING | The spinning radial design provides a consistent, swirl-free sanding finish day in, day out. Circular shape eliminates flipping or skipping on the wall. | EASY ON CORNERS | Features a rubber bumper so you can sand inside corners without damaging the opposing wall. | HOOK & LOOP ATTACHMENT | Utilizes the hook & loop system for quick, easy sanding pad replacements. Fits LEVEL5 9"" 80, 120, 150, 180, 200, & 220 grit sanding discs. | BUILT TO LAST | Premium anodized aluminum for outstanding wear life. | COMPATIBLE DESIGN | Works seamlessly with the LEVEL5 48"" Aluminum Sanding Pole (SKU# 5-343), or any other ACME threaded pole.","$34.79","https://drywalltoolbox.com/brands/Level5/5-342.webp"
"8"" Stainless Steel 0.6mm Stiff Blade Offset Taping Knife","5-380","0.6mm Stiff Offset Knife","0.6mm STIFF BLADE |  With a 3.5” deep blade, this STIFF version is ideal for applying/smoothing joint compound on walls and ceilings, as well as for filling joints and outside corner beads. | HIGH PERFORMANCE | Offset handle enables you to lay the blades flatter against the wall for smoother, tighter finishes while avoiding hand contact with the fresh compound. | ADD A HANDLE | Removable hammer end enables this blade to be mounted to a LEVEL5 skimming blade pole, or any painter’s pole. | MATERIAL REMOVAL | Sturdy, square-edge blade also works great for scraping applications, such as removing popcorn ceilings. | GET THE PERFECT ANGLE | The pole adapter (included) allows for adjustment to any blade angle for maximum comfort. | LEVEL5 Offset Finishing Knives come with the company's Lifetime Guarantee against defects in materials and workmanship","$24.39","https://drywalltoolbox.com/brands/Level5/5-380.webp"
"8"" Stainless Steel Taping Knife w/ Composite Handle","5-518","Taping Knife","PRO-GRADE QUALITY | The handle core is double riveted to the back plate using stainless steel rivets prior to overmolding. | PREMIUM STAINLESS STEEL BLADE | Medium flex provides excellent feel and performance. Corrosion resistant. | HEAVY GAUGE ALUMINUM BACK PLATE | Provides outstanding strength and rigidity. | SOLID COMPOSITE HANDLE | Lightweight polypropylene composite is impact and solvent-resistant. Features an alloy hammer end for resetting drywall screws and nails. A full-length internal blade tang provides maximum strength and durability. | ERGONOMIC PROFILE | Proprietary handle profile developed through finisher feedback to minimize hand fatigue. | AUTHENTIC LEVEL5 BRAND | If the quality, performance and reliability of your tools matters, choose LEVEL5.","$9.59","https://drywalltoolbox.com/brands/Level5/5-518.webp"
"6"" Stainless Steel Joint Knife w/ Composite Handle","5-506","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Solid composite handle is lightweight, durable and solvent resistant. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$11.59","https://drywalltoolbox.com/brands/Level5/5-506.webp"
"14"" Stainless Steel Big Back Taping Knife w/ Soft Grip Handles","5-196","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable daily use on the job site. | FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight comfortable and ergonomically designed for all-day use with minimal fatigue.  Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | FEATURES | Alloy metal hammer end for resetting drywall nails also adds blade protection when dropped. Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$18.79","https://drywalltoolbox.com/brands/Level5/5-196.webp"
"8"" Stainless Steel Big Back Taping Knife w/ Soft Grip Handles","5-190","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable daily use on the job site. | FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight comfortable and ergonomically designed for all-day use with minimal fatigue.  Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | FEATURES | Alloy metal hammer end for resetting drywall nails also adds blade protection when dropped. Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$15.99","https://drywalltoolbox.com/brands/Level5/5-190.webp"
"16"" Drywall Finishing Trowel with 0.7mm Flat Blade","4-963","Finishing Trowel","","$50.39","https://drywalltoolbox.com/brands/Level5/4-963.webp"
"200 Grit 9"" Radial Sander Disc - 10 Pack","5-349","Drywall Sanding Discs","UNIFORM FINISHING | Designed to provide a consistent, swirl-free sanding finish day in, day out. 200 grit sandpaper is ideal for smoothing out minor imperfections in your finish. | SECURE ATTACHMENT | These sanding pads utilize the hook & loop system for an easy, robust attachment to the LEVEL5 radial sanding head (SKU# 5-342) or any other compatible sanding head. | PREMIUM MATERIALS | Built from premium abrasives & heavy duty paper to reduce tearing. | MANY GRITS | Available in 80, 120, 150, 180, 200, & 220 grit, there is a sanding disc to suit any finishing need. | PROFESSIONAL GRADE | LEVEL5 Radial Sanding discs have been designed using nearly 20 years of finisher feedback.","$15.59","https://drywalltoolbox.com/brands/Level5/5-349.webp"
"8"" Blue Steel Taping Knife w/ Soft Grip Handle","5-124","Taping Knife","PLEASE NOTE: This professional finish tool features a blue steel blade. It requires proper care and storage or it will corrode/rust (see care instructions in description below). | FULL SOFT-GRIP HANDLE | Lightweight, comfortable and ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site.","$13.19","https://drywalltoolbox.com/brands/Level5/5-124.webp"
"10"" Stainless Steel Taping Knife w/ Composite Handle","5-520","Taping Knife","PRO-GRADE QUALITY | The handle core is double riveted to the back plate using stainless steel rivets prior to overmolding. | PREMIUM STAINLESS STEEL BLADE | Medium flex provides excellent feel and performance. Corrosion resistant. | HEAVY GAUGE ALUMINUM BACK PLATE | Provides outstanding strength and rigidity. | SOLID COMPOSITE HANDLE | Lightweight polypropylene composite is impact and solvent-resistant. Features an alloy hammer end for resetting drywall screws and nails. A full-length internal blade tang provides maximum strength and durability. | ERGONOMIC PROFILE | Proprietary handle profile developed through finisher feedback to minimize hand fatigue. | AUTHENTIC LEVEL5 BRAND | If the quality, performance and reliability of your tools matters, choose LEVEL5.","$10.39","https://drywalltoolbox.com/brands/Level5/5-520.webp"
"12"" Blue Steel Big Back Taping Knife w/ Soft Grip Handles","5-184","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | PREMIUM XL BLUE STEEL BLADE | Perfect, precise flex for a better finish and faster application rates. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight, comfortable and ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | OTHER FEATURES | Alloy metal hammer end for resetting drywall nails (also adds blade protection when dropped). Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations. | PLEASE NOTE: This professional finishing tool features a blue steel blade. It requires proper care and storage or it will corrode/rust (see care instructions in description below).","$15.19","https://drywalltoolbox.com/brands/Level5/5-184.webp"
"5"" Welded Stainless Steel Joint Knife","5-405","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$16.79","https://drywalltoolbox.com/brands/Level5/5-405.webp"
"16"" Drywall Finishing Hawk","5-326","Hawks","COMFORTABLE | Soft-grip, ergonomic handle and durable foam pad for comfortable, all-day use | VERSATILE | Hollow handle for mounting on scaffold or workstations | EASY-CLEAN | Handle is removable for easy cleaning and storage","$48.39","https://drywalltoolbox.com/brands/Level5/5-326.webp"
"16"" Drywall Finishing Trowel with 0.7mm Curved Blade","4-973","Finishing Trowel","","$50.39","https://drywalltoolbox.com/brands/Level5/4-973.webp"
"6"" Blue Steel Taping Knife w/ Soft Grip Handle","5-122","Taping Knife","PLEASE NOTE: This professional finish tool features a blue steel blade. It requires proper care and storage or it will corrode/rust (see care instructions in description below). | FULL SOFT-GRIP HANDLE | Lightweight, comfortable and ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site.","$12.39","https://drywalltoolbox.com/brands/Level5/5-122.webp"
"14"" Stainless Steel 0.6mm Stiff Blade Offset Taping Knife","5-386","0.6mm Stiff Offset Knife","0.6mm STIFF BLADE |  With a 3.5” deep blade, this STIFF version is ideal for applying/smoothing joint compound on walls and ceilings, as well as for filling joints and outside corner beads. | HIGH PERFORMANCE | Offset handle enables you to lay the blades flatter against the wall for smoother, tighter finishes while avoiding hand contact with the fresh compound. | ADD A HANDLE | Removable hammer end enables this blade to be mounted to a LEVEL5 skimming blade pole, or any painter’s pole. | MATERIAL REMOVAL | Sturdy, square-edge blade also works great for scraping applications, such as removing popcorn ceilings. | GET THE PERFECT ANGLE | The pole adapter (included) allows for adjustment to any blade angle for maximum comfort. | LEVEL5 Offset Finishing Knives come with the company's Lifetime Guarantee against defects in materials and workmanship","$29.59","https://drywalltoolbox.com/brands/Level5/5-386.webp"
"5"" Carbon Steel Joint Knife w/ Soft Grip Handle","5-151","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it."" | EASY CLEANUP | Mirror polished to reduce mud accumulation. | NOT CORROSION RESISTANT! Carbon steel blades offer outstanding finishing performance, but require special care between uses (see below). Choose from our stainless steel options if you require corrosion resistance.","$12.39","https://drywalltoolbox.com/brands/Level5/5-151.webp"
"18"" Drywall Finishing Trowel with 0.7mm Flat Blade","4-964","Finishing Trowel","","$53.59","https://drywalltoolbox.com/brands/Level5/4-964.webp"
"12"" Ultra Flex Finishing Trowel with 0.3mm Blade","4-994","Finishing Trowel","THE PERFECT FINISH | LEVEL5 0.3mm Ultraflex finishing trowels aren't meant for the initial drywall seam loading stage – a rigid trowel suits this task better. These highly flexible trowels shine during the last step of the finishing process. | PREMIUM BLADE | 0.3mm Ultraflex trowels feature European triple-hardened stainless steel blade designed for smoothing and finishing of drywall compound. Precision ground edges offer a “broken in” feel from their first use. | MULTIPLE SIZES | LEVEL5 0.3mm Flex finishing trowels in the 100mm width are available in three sizes: 12”, 14”, and 16”.  Choose a finishing trowel that best suits the finishing needs and size of your project. | ROBUST DESIGN | Precision powder-coated aluminum handle mount that is rigid yet lightweight and durable. Robotically-welded to the top blade using super-strong surface-mounted rivets that last longer than typical ""through-rivet"" designs. | PATENTED ERGONOMIC GRIP | Leather composite handles mold to fit your grip over time, providing all day comfort and on hands and wrist.  The handles maintain excellent grip, even when wet! | GUARANTEED PERFORMANCE | If you're not satisfied with your purchase within the first 30 days, returns through LEVEL5 are simple.","$45.19","https://drywalltoolbox.com/brands/Level5/4-994.webp"
"4"" Carbon Steel Joint Knife w/ Soft Grip Handle","5-150","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it."" | EASY CLEANUP | Mirror polished to reduce mud accumulation. | NOT CORROSION RESISTANT! Carbon steel blades offer outstanding finishing performance, but require special care between uses (see below). Choose from our stainless steel options if you require corrosion resistance.","$11.59","https://drywalltoolbox.com/brands/Level5/5-150.webp"
"Welded Stretch Joint Knife 4-Pack","5-452","Stretch Joint Knife Set","","$76.47","https://drywalltoolbox.com/brands/Level5/5-452.webp"
"16"" Stainless Steel 0.5mm Flex Blade Offset Taping Knife","5-389","0.5mm Flex Offset Knife","0.5mm FLEX BLADE | With a 4"" deep blade, this FLEX version is ideal for finishing coats and offers perfect flex for maximum feel and control. | HIGH PERFORMANCE | Handle offset from the blade edge enables you to lay the blade flatter against the wall for a smoother, tighter finish. Produce a top notch finish easier and more efficiently, while simultaneously reducing wrist and hand fatigue | ADD A HANDLE | Ergonomic handle design that enables you to mount the knife to a standard painter's pole or a LEVEL5 extendable skimming blade handle (using the included adapter with 180+ degrees of angle adjustment for perfect comfort). | FLEXIBLE DESIGN | Threaded, removable die-cast zinc hammer end can be used to reset drywall screws. Also protects from mud accumulation inside handle when angle adapter is not used. | LIFETIME GUARANTEE | LEVEL5 Offset Finishing Knives come with the company's legendary Lifetime Guarantee against defects in materials and workmanship.","$31.19","https://drywalltoolbox.com/brands/Level5/5-389.webp"
"10"" Blue Steel Big Back Taping Knife w/ Soft Grip Handles","5-182","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | PREMIUM XL BLUE STEEL BLADE | Perfect, precise flex for a better finish and faster application rates. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight, comfortable and ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | OTHER FEATURES | Alloy metal hammer end for resetting drywall nails (also adds blade protection when dropped). Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations. | PLEASE NOTE: This professional finishing tool features a blue steel blade. It requires proper care and storage or it will corrode/rust (see care instructions in description below).","$14.39","https://drywalltoolbox.com/brands/Level5/5-182.webp"
"Carbon Steel Joint Knife 3-Pack","5-621","Joint Knife Set","PREMIUM QUALITY | Carbon steel, precision-ground blade provides proper flex point and feel for faster application rates, better blade control and smoother finishes. Polished for easy cleanup. | PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | ERGONOMIC | Lightweight, impact resistant, full soft comfort grip handle ergonomically designed for all day use with minimal fatigue. Glass reinforced nylon core. | BUILT TO LAST | LEVEL5 Tools are built by industry professionals for daily use by professionals and are designed to exceed your expectations. | PLEASE NOTE: These professional finish tools feature high carbon and blue steel blades. They require proper care and storage to prevent corrosion or rusting.","$34.85","https://drywalltoolbox.com/brands/Level5/5-621.webp"
